Serial,#,Date,LTP,%Change,High,Low,Open,Qty.,
109,192,9/6/2016,322,-2.13,328,322,324,"4,247",
110,191,9/7/2016,322,0,327,315,327,"8,267",
111,190,9/8/2016,319,-0.93,322,317,322,"6,626",
112,189,9/11/2016,319,0,319,310,318,"6,643",
113,188,9/12/2016,314,-1.57,322,313,314,"3,344",
114,187,9/14/2016,317,0.96,319,311,315,"14,414",
115,186,9/18/2016,316,-0.31,321,310,321,"9,852",
116,185,9/20/2016,319,0.95,319,311,311,"19,641",
117,184,9/21/2016,320,0.31,320,312,313,"16,016",
118,183,9/22/2016,321,0.31,337,318,321,"11,901",
119,182,9/26/2016,312,0.65,316,308,308,"12,182",
120,181,9/27/2016,312,0,315,310,312,"11,066",
121,180,9/28/2016,311,-0.32,315,306,306,"4,388",
122,179,9/29/2016,306,-1.61,310,298,306,"21,704",
123,178,10/2/2016,308,0.65,308,289,300,"16,525",
124,177,10/3/2016,305,-0.97,306,300,303,"18,923",
125,176,10/4/2016,304,-0.33,307,301,305,"8,603",
126,175,10/5/2016,305,0.33,317,305,305,"15,217",
127,174,10/6/2016,322,5.57,322,306,311,"9,330",
128,173,10/16/2016,315,-2.17,324,311,316,"5,959",
129,172,10/17/2016,316,0.32,318,311,311,"8,800",
130,171,10/18/2016,315,-0.32,316,313,313,"3,832",
131,170,10/19/2016,314,-0.32,321,311,312,"6,093",
132,169,10/20/2016,314,0,315,310,315,"8,394",
133,168,10/23/2016,313,-0.32,317,309,310,"8,181",
134,167,10/24/2016,318,1.6,319,308,308,"8,316",
135,166,10/25/2016,314,-1.26,316,310,312,"6,363",
136,165,10/26/2016,314,0,314,312,313,"5,324",
137,164,10/27/2016,318,1.27,320,312,320,"2,273",
138,163,11/3/2016,312,-1.89,312,306,312,"1,642",
139,162,11/7/2016,310,-0.64,311,306,306,"6,544",
140,161,11/8/2016,307,-0.97,312,306,311,"7,379",
141,160,11/9/2016,300,-2.28,307,300,307,"9,327",
142,159,11/10/2016,303,1,304,294,294,"5,246",
143,158,11/13/2016,301,-0.66,302,295,297,"7,990",
144,157,11/14/2016,296,-1.66,301,295,297,"3,195",
145,156,11/15/2016,298,0.68,298,293,301,"2,655",
146,155,11/16/2016,290,-2.68,296,290,295,"5,329",
147,154,11/17/2016,295,1.72,295,285,290,"2,824",
148,153,11/20/2016,280,-5.08,295,280,295,"1,020",
149,152,11/21/2016,270,-3.57,284,266,280,"19,562",
150,151,11/22/2016,273,1.11,278,265,265,"6,612",
151,150,11/23/2016,265,-2.93,275,260,271,"8,129",
152,149,11/24/2016,270,1.89,275,264,267,"10,701",
153,148,11/27/2016,250,-7.41,265,245,265,"19,305",
154,147,11/28/2016,270,8,270,232,245,"5,222",
155,146,11/29/2016,280,3.7,280,255,265,"7,905",
156,145,11/30/2016,290,3.57,291,272,285,"21,105",
157,144,12/1/2016,272,-6.21,290,272,287,"9,291",
158,143,12/4/2016,268,-1.47,277,268,277,"2,417",
159,142,12/5/2016,265,-1.12,270,265,270,647,
160,141,12/6/2016,270,1.89,270,260,266,"4,261",
161,140,12/7/2016,268,-0.74,270,267,267,"4,512",
162,139,12/8/2016,261,-2.99,265,260,263,"4,478",
163,138,12/11/2016,256,-1.54,260,255,255,"2,743",
164,137,12/12/2016,252,-1.56,257,250,252,"1,745",
165,136,12/14/2016,259,2.78,259,253,257,"1,778",
166,135,12/15/2016,264,2.7,266,256,258,"1,660",
167,134,12/18/2016,271,1.88,271,259,265,990,
168,133,12/19/2016,261,-3.69,266,261,266,"3,187",
169,132,12/20/2016,255,-2.3,260,255,260,"4,813",
170,131,12/21/2016,253,-0.78,258,250,252,"3,627",
171,130,12/22/2016,255,0.79,255,246,248,344,
172,129,12/26/2016,241,-5.49,255,241,255,"9,156",
173,128,12/27/2016,242,0.41,246,236,240,"4,439",
174,127,12/28/2016,245,1.24,250,239,246,"7,568",
175,126,12/29/2016,248,1.22,250,246,248,"7,942",
176,125,1/1/2017,250,0.81,260,246,246,"10,091",
